tweet,sentiment
اللهم امین اجمعین ، لەگەڵ تۆی گۆڵیشدا,positive
وەڵا خۆ ڕاستیش ئەکەی ڕێ تێ ئەچێ,positive
دەست خوش و سوپاس بو وی هەستێ دلسوز,positive
ئەوبرادەرە کەسایەتیکی خۆشەویستوناسراوە،کە لەنەتەوەیی و کورد بونی هیچ شکی نیە،و کەسێکی ڕاستگۆ ،و دڵسۆز ،و ئازادی خوازە.. خۆ شەرت نیە هەرکەس بەدڵی تۆ قسەی نەکرد خراپە؟؟؟,positive
بەپێچەوانەیە. ئێمە ڕێز بۆ هەموو ئایینێک دادەنێین و هەڵوێستی مەلاکانی کوردستان زۆر بەنرخ بوو.,positive
ئەمشەویشمان بردەوە سوپاس بۆ جمورەکانی پرتوگال کە ئەمشەو موئەقەت فەڕەنساتان تەشجیع کرد بۆ ئەرجەنتینیەکانیش ئەوە لە یەکمان دا بەهیوای ئەوەی بەختێکی باش بۆ ئێوە بژی فەڕەنسا 🇫🇷,positive
زۆر جوانن دەستان خۆشبێت هەر بژی کچانی دەشتی شارەزوور,positive
هەبونی کەسێک کەلێت تێبگات لەمیلۆنان خەڵک کەخۆشیان بوێت باشترە,positive
بە چەند ڕێگایەک خۆت دڵخۆشبکە | ڕێکخراوی دیالۆگی نیشتمان,positive
خۆزگە لەولاش ڕۆناڵدۆ لە یاری کۆتایی بایە زۆر خۆش دەبوو.,positive
دەستتان خۆشبێت کاک سەرکەوت گیان بەڕاستی خولێکی نمونەیی و کارێکی گەورە بوو جێکای پێزانیە نمونەی بەڕێزتان زیادبێت.,positive
وە ناو گوورانیە ئۊشێ منەمە ساڵ 59 کرماشان مەبەست یەسە فرە ئەو ساڵێل کرماشان خەراو بییە جوور ئەوەسە,positive
1/4 26سەرماوەزێکی جیاوازتر لە هەموو سەرماوەزەکان #پێشمەرگە لە هەمووکاتێک خۆشەویستتر، ناسراوتر و جێی برواترە. هێزی پێشمەرگە لە ڕۆژهەڵاتی کوردستان یەکگرتووتر لە جاران و خەباتی نەتەوایەتی هەموو ئاستەکانی کۆمەڵگای کوردستانی بەخۆیەوە گرتووە. #ژن_ژیان_ئازادی,positive
کاتێک کە گوێم لە دەنگت نییە وەڕوخسارت نابیم کاتێک بە جەستە دووری لێم ؟ دڵم هەر بۆباشیت و بۆ تۆ ئەکات!! جیاواز لەکەسانی تر.. بەدوعا بۆت ئەجەنگم . چونکە خودا . دەفەرموێت؟ تاکەشت بتوانێ قەدەر بگۆڕێ دوعا کردنە...,positive
بە هیوای ڕۆژێک هەموو ژنانی کورد لە گۆڕەپانی زانست و هۆنەر دەرکەوتنیان ببینین . نا بۆ بەچەکدار کردنی ژنانی کورد لە قەندیل و بەکارهاوردنیان ، بەڵێ بۆ پێشکەوتی ژنانی کورد لە دنیای زانست و هۆنەر ، تاکە ڕەمزی سەرکەوتنی ژنانی کورد و نیشتمانمان #کوردستان,positive
کاک #وریا_قادریان، زۆر بەڕێز و خۆشەویست هیوای ئازادی ئێوە لە دڵما بە چرکەیە دەنگی #وریا_قادریان بین,positive
م. عومەر خۆشترین دەرسی هەیە گوناحە لەدەرسی وی ساقیت بی پار نەدەوێراین تاخیربین دەیگۆ یان نوکتە یان گۆرانی دەبی یەکەکی برێن ئەوجا ئەمنیش بەس نوکتەی بێ تامم دەگۆ بەزمی گەلەک خۆشە و زۆریش زیرەکە، ئەدی بەلاغە کەنگین هەتانە؟,positive
جوانیەکانی ڕێگای هامڵتۆن دەڤەری باڵەکایەتی لەوەرزی پایز,positive
ئەی هەفتە بچم وە بان چەوم بێ شۆخی ئۊشم,positive
پیرۆزبێت لە وڵاتی قەتەر 220 ملیار دۆلار بۆ نیشاندانی جوانترین وێنەی عەرەبی و ئیسلامی.,positive
دوعای خێری بۆبکە خوای گەورە سەبووریت بدات,positive
گوێ بە قسەی کام گەورە بەین؟ ئەو گەورەیە کە کەس لەو ئێرانی تر نییە یان ئەو گەورەیەی کە خۆی بە بەرچاوتەنگ باس دەکات؟,positive
"دڤێت جمهورێ دروست یێ د وەرزشێ بگەهیت و بزانیت وەرزش چییە ، دانپێدانێ بکەت ، کو مێسی "" باشترین یاریزانێ مێژوویێ یە ، ژ ڕوژا تەپاپێ دەرکەفتی حەتا نوکە . ٭ کرستیانوو پاشایێ تەپاپێ یە .! ٭ بەلێ مێسی ئیمبراتورێ تەپاپێ یە.! ٭ دگەل بوچونێت وە.؟ 𓃵",positive
بەس زەیتوونەکەی خۆشە بەینی خۆمان بێ,positive
شێخ مێسی جامی جیهانی بەرز کردەوە.,positive
چاو لێی یاین ئەگینا ئەمان بردەوە,positive
دنیایەک سوپاس خوا خێرت بنوسێ ان شاءاللە,positive
جمعە مبارک .. ئەمڕۆ خۆشەویستی نوێ کەنەوە لەگەڵ ئازیزانتان دڵیان ڕۆشەن کەنەوە سۆزو خۆشەویستیان پڕە لەنوری خوا لەو هەینیەدا.. هاوڕێکانم خۆشم دەوێن...,positive
جزاک الله ،، قسەکەت جوانە لام ،،، بۆیە ئەڵێم ئەبێ منیش و تۆیش هەموو ئەوانەی ئاواتیان ژیانی خۆش و بێ کێشەیە گوێ لە ئامۆژگاری و ڕێنمایی کەسانی باش و لە خواترس وەرگرن ... ئەگەر لوتبەرزی و تەکەبور و کەلە ڕەقی وای لێ بکات گوێ لە کەسی باش نەگرێ دڵنیابە هەمیشە لە کێشە و دۆڕاویدایە,positive
عافیەتان بیت نانا دوژمنی پیاوان نیە زور حەزم لێ یە,positive
ڕێک وەکو چاوەکانت گوڵ ، بژیت سپاس,positive
چ نامەیەک، چ پەنجەیەک، چ خامەیەک ئەوەندە دڵ دەکاتەوە خەفەت لە بیر ئەباتەوە ئەخاتە ناوی گیانەوە تەزوی بەتام. -ئەحمەد هەردی,positive
جوانە زۆر زۆر پێویستە سادەو خاکی بین من هەروام هێناوە لەخوابەزیادبێ.,positive
مەریوان ورەی قایمی لاوان ئەو شۆڕشە سەر دەخات. مریوان ارادە محکم جوانان، این انقلاب ڕا پیروز خواهد کرد.,positive
ئەوە ئامانجێک چشتێگ ترە، ئامانجێ قاجاریسمە وە شێواز نوو!,positive
من لێرەوە چێژی لێ ئەبینم ئەبێ لە نزیکی چۆن بم ؟!,positive
بژی ئەم کوڕە شازە و پیرۆزە ڕۆژی ئاڵا,positive
هەر سەیر کردنی ئەو دیمەنە ئارامیەکت پێ دەبەخشێت چ جای لەوێ بژی و ڕاستەوخۆ بیبینی .,positive
کتێب زۆر زۆره ، لەسەر هەموو بابەتێک هەیە ، بەڵام پێشنیاری من کە سودی لێ ببینی بۆ تەواوی ژیانت کتێبی ( چیرۆکە قورئانیەکان ) نوسینی / حاجی کاروان ، کتێبی تر زۆرە بەڵام ئەمە تایبەتە، کەخوێندتەوە ئەوکاتە ئەزانی,positive
پێشوازیکردن لە ڕێکخراوی شەهیدان لە لێژنەی کاروباری شەهیدان. سپاس و پێزانینم بۆ سوپاسگوزارییان و بە تایبەت بۆ کاک ئەنوەر عەسکەری سەرۆکی ڕێکخراوی شەهیدان. هیوای سەرکەوتن بۆ گشت ڕێکخراوەکانی شەهیدان دەخوازم و هەمیشە خۆم بە خزمەتکاری کەسوکاری شەهیدان دەزانم.,positive
بەڕاستی تەعبیرێکی زۆر جوانە ، زۆر ناسکە ، زۆر پڕ وەفای ئەولادە زۆ باوکی ،، زۆریش حەزینە ،، دەس خۆش بۆ دۆزینەوەو بڵاو کردنەوەی,positive
قۆر دنیا بە سەرتان ،ئەو هەمو جوانەمان تێا چوو ،کە ئێوە ئەوا کەن بۆ ئەو گەماڵە،حەیف نەبێت ئێوە ماون؟باوک شەهیدەکانمان منداڵەکەی خۆی فەدای خاکی کوردستان نەکرد ئێوەی گەواد ئەوا کەن,positive
پیرۆز بێت 70 ساڵ بەردەوامی لە خەباتی ئافرەتانی کوردستان. #یەکیەتی_ئافرەتانی_کوردستان #ئەنجومەنی_سۆران,positive
خوزی هندەک تێگەهشتبان کو چ مەزنی د هندێدا نینە تو کەسەکێ نەبوری دەمێ ل خەلەتیا خو بزڤریت و داخازا لێبورینێ بکەت,positive
هەر بەرز و بلند بیت ئالایێ کوردستانێ,positive
هەمیشە زۆر باش بیت لە خۆشیدا بیت,positive
سڵاو لە ڕۆحی پاک و بەرزی مەجیدڕەزا ڕەهنەوەرد. لە کاتی چون بۆ پای سێ دارە.,positive
# پیرۆزە لەگەلی کورد #ڕۆژی_ئاڵا ڕابەرو سەرۆکمان دەفەرمووێ (من. خۆم لەوڕۆژەدا لەدایکبووم لەژێر پەرچەمی ئاڵای کوردستان).,positive
جوانە ، دەستت تە خۆش برا ، هەر هەبی,positive
پاشای تۆپی پێ دەگەڕێتەوە ڕیال مدرید بۆ پارێزگاری لە لیاقەی بەدەنی و ڕاهێنانەکانی.,positive
من شێعری شێرکۆم زۆر بە دڵە، بەڵام ئەتوانم بڵێم پڕ بە دڵ لەگەڵ ئەو قسەتم. زۆر جار لە خۆێندنەوەی شێعری شێرکۆدا ئەم قسەی تۆ هاتوە بە مێشکما. ئێمە هەر بڕیار وایە هەرچی هات بە سەرمانا، بلاوینۆ و باوکەڕۆ کەین؟! هەر ئەوەندە؟! دەی پاشان؟,positive
سوپاس نا لای ئێمە ماندی بون بەلاش ناچێ,positive
جوانترین شت کە دەبێ چاو ببینرێ لە دونیادا.,positive
گەلەکی باشە، پیرۆز بیت ژ بۆ کورد و کوردستان.,positive
جوانە بژیت ڕەش جوانترین ڕەنگە لەلای من,positive
خۆشترین شت لە ژیانا کەڵە شاخە,positive
حەزدەکەم لای تۆبم ڕێک ناو باوەشە دڵئارامەکەت بەرخەکەم,positive
هەتیو ڕۆناڵدۆ بەقەی باڵای بەس چامپیۆنسلیگی هەیە بتڵە غازە,positive
حەقە بە دەبابە بچیتە سەر ماڵی ئەوانەی تەقەی خۆشی ئەکەن ئەو بەزمەی بۆ چییە دڵخۆش بن و تەواو,positive
چەندە خۆشە هەندێ جار ئەوە ڕوو بدات کە مرۆڤ حەزی لێیەتی. فینجانێکی قاوە بزەیەکی شیرین دەستێکی میهرەبان ئامێزێکی متمانە پێ کراو هەوایەکی پڕ لە جارێ گریان و جارێ پێکەنین نەمانی دڵتەنگی..,positive
ڕۆژیکی خۆش بۆ خوشکی من.بەهیوای بەختەوەریت,positive
ئێستا خاڵە پۆتینی خۆشمان قایشی ڕەشی لە جۆدۆ و تایکواندۆ هەیە برانەڕۆ خۆشە بگەیتە ئەو حەددە، من ئێستا زۆرم حەز لە بۆکسێنە بەس هۆڵیان نادۆزمەوە,positive
ئائا ئینشاڵلە ڕۆژانی دی جوانتریش دەبی,positive
مالا دەیک و باب پشتی مالا خۆدێ ئێکانە مالە تۆ دشێی ڕۆژێ دەھ جارا بچییە وێرێ بێ داخازکرن و هەر جار خۆدانێ مالێ ب دیتنا تە دلخۆشتر دبیت مالەک هەمی دەما خۆدانێ مالێ چاڤی وی لدەرگەهییە بوو دیتنا تە ، مالەک یا تژییە بیرهاتنێن تە یێن زارۆکینیێ مالەک ب ئاخفتن دگەل وان خێر و عیبادەتە,positive
تو کوڕێگی بنار ارای من خۆ . وەتی ئەڕای کی بناری وەتم من,positive
دەست خۆشتر هاورێ زۆر سوپاس ئازیزی,positive
تەمەن درێژ بیت گول برا یاخوا هەمیشە لەلوتکە بتبینم,positive
دڵ خۆشی وشادی میوانی هەمیشەی دڵت بێت براکەم سباس,positive
مەسرور بارزانی سەرەخۆشی ل فەهمی بورهان کر,positive
ئای لەم دیمەنە چەند دڵ ڕفێنە ڕۆح ئەهەژێنێ خۆشە ئەم شوێنە دەنگی خوڕەی ئاو هاژە هاژی دێ بەهاری قەشەنگ تازە لێرە دێ دارەکان بەرزن زۆر پڕچڵ گەڵان ئاسوودە ئەبی لێرە ئەڕووا ژان بۆن و بەرامەی ئێرە چەند خۆشە دڵ وڕۆح و گیان ئەمەی پێخۆشە,positive
پەشیمان نیم لە هیچ شتێک کە هاتۆتە ژیانم ،دڵسۆز دڵخۆشی کردووم و خراپیش ئەزموونێک بووە . خراپترینیش وانەیەک بووە بۆم باشترینیش هەرگیز بە جێم ناهێڵێت.,positive
بکەوە ڕێ؟ تا ئەوساتەی کە پێم دەگەی بەهێز و بەتوانا دیاری لێت ناترسم تۆ ئەو کەسەی کەپێم دەگەی چیم داوە لە هات و نەهات گرنگ کەهات دڵم دەکەم بەجوانترین دەیدەم بەئەو وەکو خەڵات من بۆچیمە کەئەوم بێ بێتو با لەبۆخۆی ببات سواری ئەسپە شێکەت ببەو بەڕێکەوە.. دەڕێکەوە..,positive
ڕاهێنان لەگەل دالان پاش دوو مانگ سوپاس بو خوا ئەنجامێکی باشی هەبووە #زمانگرتن,positive
هی تۆ بەڕێزیش هه ڕ دڵخۆش بیت,positive
نیشتمان قوربانی خاکی پاکی هەردەم شۆڕشگێڕت بم.,positive
من کۆمێندێکی زۆر باشم بۆ کەسێکی بەرێز نوسیم کە باسی ئەوەم کرد کە من چۆن سەعی دەکەم لە وانەیەکدا و ئەویش پرسیاری کردبوو کەچی جوابی هەرچی کۆمێندی نێگەتیڤانەیە جوابی دایەوە کەچی ئەوەی من هیچ جوابی نە دایەوە بەراستی هەندێک هەڵسن و دانیشن تویتێک دەکەن خۆیشیان لە خۆیان تێناگەن,positive
سەرۆکی حکومەت هەروەها سوپاسی سێناتۆر جاک ڕید سەرۆکی ئێستای لیژنەی هێزە چەکدارەکانیشی کرد بۆ داکۆکیکردن و پشتیوانیی بەردەوامی لە خەڵکی کوردستان.,positive
جاکاتی خۆشبەخت بوی چی لە هات بۆی بکە خێر,positive
دڵم لە بەرد ڕەق تر بووەجاران چێژم لە میهرەبانی ئەبینی بەڵام ئێستا زۆر چێژ لەو دڵ ڕەقییەم دەبینم:,positive
تۆش هەر بە قەت من ئەبی بیرم کەوتەوە,positive
ئەم نەفرەتییە نەبوایە،ئەرجەنتین ئەبوایە عوودی لێ بدایە،شایەنیەتی بەڕاستی!,positive
وە ڕۆژ ئەوەڵ ک وەتی وەتم ئا ئاپۆچیم وەڵام ئۊشم گەنە کاریش کەم نەکردیە ئەقرە شەهامتی دیرم قەبۆڵ کەم ئێشتباهیش فرە دێرن وەلی تۆ چە حازری بچیدە ژیر بار شەڕ براکوشیدان گەرد کۆمەڵە؟,positive
خوا لێت ڕازی بێ برای بەڕێزم,positive
کوردی | عربی دلخوش بوین بدیدارا بەرێز دکتور خەلیل غازی دوسکی ئەندام پەرلەمان و ئەندامێ لێجنا دارایێ ل پەرلەمانێ عیراقا فدراڵ. -------------------------------- سررنا بلقاء الدکتور خلیل غازی الدوسکی عضو فی البرلمان العراقی وعضو اللجنە المالیە فی البرلمان العراقی.,positive
ڕۆژی پێشمەرگە پێرۆز بێ، بژی پێشمەرگە #ژینا_ئەمینی #اعتصابات_سراسری #ژن_ژیان_ئازادی,positive
ئێمە گەلێکی باشین و سەربڵیند، ئێمە شایانی ژیانێکی ئازاد و چاکین.,positive
وەڵا ئازابوو لە کۆتاییا ئەرجەنتینی کردبوو بە فلم بە شەرتەکی زۆربەی بە تەنها کردی ، بەس بردمانەوە .,positive
وەرە گیانم فیدای چاوی ڕەشی تۆ وەرە با هەست بکەم گەرمی لەشی تۆ,positive
ئێسە بە جددی بێرثدەییت موبارەک بێت برا بووبە دوو حەفلە بۆتۆ,positive
خخخخ بەو وەزعەوە باشترین یاریزان بیت ئەبێ چ یاریەک بێت,positive
سلێمانی خۆشم ئەوێی وەک نووقڵەکەی شەوی بەرات وەک شیرینی ئەدرێ خەڵات وەک هەناسەکەی خۆرهەڵات وەک خۆشەویستی بۆ وڵات,positive
گوڵەکەم دەلێن ئاوادێ هەموو وەختێ چاوە چاوم ئەی خودا تۆبڵەی وەهابێ بیتەوە ڕووناکی چاوم سەبەبی زولفی شێواو حوسنی ڕووی مەدەی پێداوە من کەوا ڕۆژم بۆتە شەو کە بەرۆژی ڕەش داماوم,positive
سڵاو سەرکردەی شۆڕشگێڕی شۆڕشی نوێ کێوێ لە ئاڵتون و کاریزمای پشتی سەرۆک #مام #جەلال ، دادە #هێرۆ خان دادەی هەموو یەکێتی یەکان هیوای تەندروستی زۆر باشیان بۆ دەخوازم شاژنی کورد #روشنا -#تالەبانی,positive
ئەمڕۆ تەواوی شار گەڕام پڕ بوو لە تۆ ئازیزی دوورم تۆی ناو یادگارییەکانم ئەڵێم,positive
بەڕێز نێچیرڤان بارزانی، سەرۆکی هەرێمی کوردستان، لە دیدارێکدا لە هەولێر، پیرۆزبایی لە بەڕێز مەمەت مەولوود یاکوت کونسوڵی گشتیی نوێی تورکیا لە هەرێمی کوردستان کرد و هیوای سەرکەوتنی لە ئەرکەکەیدا بۆ خواست، هەروەها هەموو پشتگیری و هاوکارییەکی بۆ دەربڕی.,positive
گریا گوڵێ بۆ گوڵاو سەر ئاگر نریا ، ئەم بۆن و بەرامەیەم نەبووبا بریا ، نرخی هونەر و جوانییە دەیبا گەردوون ، کێ پێکەنی جارێکی هەزار جار گریا,positive
هاوڵاتیانی #ناحیەی_زەڕایەن بەبۆنەی سەرکەوتنی ئەرجەنتین بۆ قۆناغی 8 ئاهەنگیان گێڕا..,positive
ئینشاڵا سەبر بگرن شتی نوێ دەکەین وە بەس گەنجی کۆیە بەژدار دەبی,positive
هەر خراببوونەکێ ئاڤابوونەک یا بۆ هەی هەر شکەستنەکێ سەرکەفتنەک یا بوو هەی,positive
زۆر سپاس بۆ ئاگاداریتان،. زۆر خۆشحاڵ بۆم . هەربژی,positive
خوای گەورە دل خۆش بکات و ئەو ڕۆژە ببیننی هەردووکمان,positive
چێژێکی زۆری لێ وەرئەگرم، ئەم مۆدێلەش بەڕاستی پێی سەرسامم ئەوەندە ورد و جوان دروستکراوە، 1164 پارچەیە 6 کاژێری پێچوو.,positive
عێراق بڕیارێکی گرنگ لەبەرژەوەندی موچەخۆرانی هەرێم دەدات......,positive
"ناوی ئەو ئەوەنە پیرۆز و گەورەیە من بۆ زیکە زیکێکی هیچو پووچ بەکاری بێنم! ئینجا ئەشیکەم, بەس شتی دنیایی سەبەبی دنیایی ئەوێ.",positive
تەواو مادەم بەو دوانە ماویت سەرکەوتن و دۆڕانمان بەیەکەوەیە ئیتر خوا ڕەحم کات,positive
کەشتی ژیانت لە گونجاوترین جێگە لەنگەر ئەگرێت ان شاءاللە,positive
هۆکارەک پاڵنەری بووبی ئەویش هەستا بە حازری ئیشی منی دانایە هەرچەندە نازانم نسبەی کۆپیکردنەکەی چەندبووە بەس هەست دەکەم 100% بووە چونکە بە ئاسانی ناسرایتەوە، خۆزگە ئەو نوسینەی دەدیت، ئامۆژگاری من لەبۆ تەڵەبەکانی معماری ئەوەیە دەکرێ سود لە ئیشی یەکتر ببینن بەڵام نەک بچی,positive
لەدەوڵەتی سەربەخۆییەوە خەریکە دڵ بەوە خۆش بکرێت.. گوایە کاروانێکی سیستەمی بەرگریی ئاسمانی، لەفەرەنسا کڕدراوە، نوێنەری هەرێمیش لەفەرماندەیی ئۆپەراسیۆنە هاوبەشەکانی عێراقیش دەڵێت: ئەو سیستەمە بۆ سنوورەکانی هەرێمی کوردستانیشە، بەمەرجێک سوپای تورکیا لەقوڵایی هەرێمەوە هێرش دەکات.,positive
دەستی خۆشکی خۆم هەمیشەبڕ گوڵ بێت سوباستەکەم,positive
هیوادارم زوو بێنە داوات ،بە بەختی چا بی,positive
ناتوانم دەستخۆشی لە کەسێک نەکەم کە ڕۆژی ئاڵای کوردستان پیرۆز ئەکات ئەگەر (بەرهەم ساڵەحیش)بێت.,positive
زۆر سوپاس ڤیان ئازیزی هەمیشە دڵ خۆش بژی,positive
2022/12/17 بەرزو پیرۆزبێت ڕۆژی ئاڵای کوردستان. ئاڵای کوردستان ناسنامە و پێناسەی نەتەوەییمانە، ئاڵا سمبولی نەتەوە و نیشتیمان و ئازادی و سەروەریە، هێمای تێکۆشان و قوڕبانیدانی نەتەوەیەک و نیشتیمانێکی ستەملێکراوە.,positive
سلاو لە تۆش بیت ڕۆژ پر بیت لە خۆشی و. ئاسودەی,positive
تۆ نایێژم خانم ،ئەو گوجە ئێژم,positive
گەوڕەم کوا کاتی ڕوێشتن بوو هێشتا مابووم دەبی چیهات لی فێر بم وادەی کوچ نەبوو بوکی موکڕیان و چومی مەجێد خان کوا هەلگڕی ئەوهەموو گەوڕیی و قاڕەمانییەی تۆیە.لەمێژە بڕیارم داوە بوو شەهیدی وەتەن شێن نەگێرم بەلام پێمانت لەگەل نوێ دەکەمە توڵەت دەستێنین ئاڕام بگڕە سەنگەرت ئاوەدانە,positive
هەر بە قن بایان بۆ مەتاڕ,positive
زۆر سپاس دەستی ئێوەی بەرێزیش خۆش بێت,positive
زۆر ڕاست دەکەی بەجێل لێت تێ گەیشتینە,positive
شۆڕەژن سەربەقوڕو گەورە کچیش مل بە کوێن تا بمێنێ سەری بە قوڕو ملی بە کوێن، دەگریم بووکی کۆست کەوتوو دەبینم لە پەژارەی زاوا سەری کوڵمانی دەڵێی زەردەیی سەرسوێن، دەگریم #شەهید #کوردستان,positive
ئێمە بە شانازییەوە کوردین ، کورد یانی ئینسان ، مرۆڤ,positive
شەوه شەو گیانەکەم! چرایەک بهێنه، بگەڕێین، با بزانین، ئەو شەوه چەند ئەستێرەی چاوگەشیان، له خاکدا چاندووه... |جەلال مەلەکشا,positive
سپاس بۆ جەنابتان و ممنونم بۆ تەرخانکردنی کات,positive
جا برام بۆ بەغیلی ئەبەی ئەو لە شوێنێکی خۆشاو هەموو شتێکی بۆ دابین کراوەو وەکە دکتۆر مامەڵەی ڵەگەڵ ئەکرێ تۆش لە شوێنێکا خەریکە ئەروخێ و هۆڵێکتان ئەگەر هەبێ یان نەبێ و ئەبێ بەم واصتە ئەو واصتە بچیتە خەستەخانەیەک دوو شتی طوبی ببینی..,positive
ێ ئەتوو ببە سەیاق مادەم خۆشە,positive
زۆر بەخۆشحاڵیەوە ئەمڕۆ بەوتاری ئەنجومەنی باڵای ڕێکخراوە خاوەنپێداویستیە تایبەتیەکان بەشداربووم لە خەڵاتی ڕێز لێنانی فەرمانبەرانی خاوەنپێداویست لەکەرتی تەندروستی وەک وەفایەک بۆ ماندوبوون و دڵسۆزی و خزمەتی کۆمەڵگا کە سەندیکای کارمەندانی تەندروستی و سەرۆکایەتی تەندروستی سلیمانی,positive
کۆمێنتم بۆ نووسی حەیف سڕیەوە هاااااها هاهاها بوە بە کارەی بەرخەسپی و سانای مام یوسف لەهەموو شتێکا گووو ئەخوا,positive
ئەو مەنجەڵە بۆ لە هین ئەچێ,positive
الحمدالله زۆرم پێ خۆشه. پیرۆزە لە تەواوی گەلی کورد,positive
شانازی به واتای ڕێزێ زۆرە. هەر نەتەوەیەک پێداگری لە بایەخێ یان بایەخگەلێ دەکات کە لە دەورانی زۆر کۆنەو ماوەتەوە بۆی. خاوەنداری ئەو بایەخگەلێ هۆکاری شانازی کردنە. بۆ نموونە ڕەنگە جەنابت وەک کوردێ بە دلێر بوونت شانازی بکەی,positive
چەمکی شۆڕشی ژنان پڕ بە پێستی ئەم شۆڕشە نوێیەیە!! چاو لەو ژنەی ناو ویدیۆکە بکەن جیا لەوەی ئاوڕ لەو ڕەئیسی تەرەس ناداتەوە! زۆر بوێرانەش ئیهمال و لێی دوور دەکەوێتەوە، جوان دیارە کە پێی شورەییە لێیان نزیک بێت. #ژن_ژیان_ئازادی,positive
سەرکۆمار ئەردۆغان: (کەمترین مووچە) هەتا فیداکارانە ماف و خۆشگوزەرانی فەرمانبەران بپارێزین، ئەوەندە بەخێرایی و متمانەوە دەگەین بە ئامانجە هاوبەشەکەنمان.,positive
ئا خاڵۆ شۊن ئێمە وە کولیایی خاس ترین توتون کوردستان دێرێ,positive
"ئەو تامەزرۆییەی کە دڵی من بۆ دیداری تۆ هەیەتی من و دڵ دەیزانین و بەس...!!! "" مەولانای ڕۆمی """,positive
پایزی سروشتە جوانەکەی شارباژێڕ گوندی کوڕەداوێ فۆتۆگرافەر، ناسح عەلی خەیات,positive
هنده ک جاران خو ژی هه مبێز کە و بێژە تەژی ڕێکەکا درێژ یا بری ئەز شانازیێ تە دکەم.,positive
زۆر سوپاس ئازیزی دڵ خۆش و سەرکەوتووبی یا ڕب,positive
مرۆڤ لە هەموو شت بەرەو پێش ئەچێ تەنها لە مرۆڤبوونا نەبێت !.,positive
ئەگەر بە دڵخۆشبوونی مرۆڤ دڵخۆش بووی ئەوا تۆ مرۆڤی.,positive
سپاس بۆ ئێوە و هەوڵەکانتان کانی خانمی ئازیز، پەنجەتان ڕەنگین بێت و هەر بژین و بمێنن. بۆمان. بۆ توییتێرییش بە خێر بێن و بە هیوای ئەوەی بتوانین لێرەشەوە کەڵک کە بەرهەمەکانتان وەرگرین.,positive
هەر تەواو بەستویانە من بە چتێک وەسڵ ئەوم کە بەس لە وەختی وا کار ئەکات، هیچ فیلتەرشکێنێکم کار نیکا ئەوە نەبێ,positive
بە داد تهران و اصفهان و شیراز و مشهد برسید؟؟؟یانی هونەری هاتنه دەرەی هەزاران کەسیان هەیە؟!کوڕە کاکە شتی چاک بڵێ!جا خۆ من تەلیسێکم تووی فەڕشاد کڕیبوو بینێرم لە پشت پەنجەرە چێژی زیاتر بەرن.جا ئەوە چی لێبکەم!!!,positive
مەترسێن ئێمە هەر سەردەکەوین #دوکتور_قاسملوو #مهسا_امینی,positive
زۆر سوپاس بۆتۆش تۆ مامۆستایەکی بەڕێزی وانەی زۆر ئەڵێیتەوە,positive
یارەب ام دلی تۆ بۆهەمیشە خۆش بیت,positive
